,,Tackles,,,,,Def Int,,,,,Fumbles,,,
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Stewart Bradley,42,33,75,5,1,,,,,,,,,
2,Andre Jones,54,20,74,1.5,1,1,0,0,0,,,,,
3,Corey McKeon,36,33,69,6.5,1,,,,,3,,,,2
4,Bo Ruud,36,29,65,5.5,2,2,54,27,0,,,,,
5,Tierre Green,37,28,65,0.5,0,1,15,15,0,,,,,
6,Andrew Shanle,43,15,58,0,0,4,19,4.8,0,,,,,
7,Cortney Grixby,42,11,53,1.5,0,1,3,3,0,,,,,
8,Adam Carriker,24,28,52,14,7,1,-3,-3,0,,,,,
9,Jay Moore,25,20,45,14.5,6,,,,,3,,,,
10,Lance Brandenburgh,20,21,41,3,0.5,,,,,,,,,1
11,Steve Octavien,22,10,32,4,1,,,,,2,,,,1
12,Barry Cryer,19,12,31,9,2.5,,,,,3,,,,1
13,Ola Dagunduro,15,16,31,7.5,3.5,,,,,,,,,
14,Ty Steinkuhler,16,6,22,3,1,,,,,,,,,1
15,Ndamukong Suh,12,7,19,7,3.5,1,0,0,0,,,,,
16,Barry Turner,11,7,18,2.5,1.5,,,,,,,,,
17,Ben Eisenhart,10,3,13,2,0,,,,,,,,,
18,Major Culbert,6,6,12,0,0,,,,,,,,,
19,Corey Young,9,3,12,0,0,,,,,,,,,
20,Dan Erickson,6,6,12,0,0,,,,,,,,,
21,Rickey Thenarse,5,4,9,0,0,1,25,25,0,,,,,
22,Matt O'Hanlon,1,7,8,0,0,,,,,,,,,
23,Andy Kadavy,4,4,8,0,0,,,,,,,,,
24,Brandon Rigoni,4,2,6,0,0,,,,,,1,11,0,0
25,Todd Peterson,3,2,5,0,0,,,,,,,,,
26,Phillip Dillard,3,1,4,0,0,,,,,,,,,
27,Bryan Wilson,3,1,4,0,0,,,,,,,,,
28,Zach Potter,2,1,3,0,0,,,,,,,,,
29,Jake Wesch,2,1,3,0,0,,,,,,,,,
30,Andy Poulosky,1,1,2,1,0,,,,,,,,,
31,Will Henry,1,0,1,0,0,,,,,,,,,
32,Clayton Sievers,1,0,1,0,0,,,,,,,,,
33,Titus Brothers,1,0,1,0,0,,,,,,,,,
34,Brett Byford,1,0,1,0,0,,,,,,,,,
35,Mike Huff,1,0,1,0,0,,,,,,,,,
36,Brandon Johnson,0,1,1,0,0,,,,,,,,,
37,J. B. Phillips,1,0,1,0,0,,,,,,,,,
38,Tyrell Spain,0,1,1,0,0,,,,,,,,,
39,Zac Taylor,1,0,1,0,0,,,,,,,,,
40,Jordan Congdon,1,0,1,0,0,,,,,,,,,
41,Frantz Hardy,1,0,1,0,0,,,,,,,,,
42,Terrence Nunn,0,1,1,0,0,,,,,,,,,
43,Maurice Purify,1,0,1,0,0,,,,,,,,,
44,Nate Swift,1,0,1,0,0,,,,,,,,,
45,Dane Todd,1,0,1,0,0,,,,,,,,,
