,,Tackles,,,,,Def Int,,,,,Fumbles,,,
Rk,Player,Solo,Ast,Tot,Loss,Sk,Int,Yds,Avg,TD,PD,FR,Yds,TD,FF
1,Steve Octavien,56,36,92,12.5,2,,,,,3,,,,
2,Larry Asante,40,38,78,0,0,,,,,,,,,
3,Corey McKeon,34,39,73,6,1,1,3,3,0,,,,,
4,Armando Murillo,42,27,69,2,0.5,,,,,6,,,,
5,Bo Ruud,28,26,54,3.5,0,2,127,63.5,2,,,,,
6,Tierre Green,24,30,54,1,1,,,,,4,,,,
7,Lance Brandenburgh,37,14,51,0,0,,,,,,,,,
8,Zach Potter,26,19,45,10,2.5,1,0,0,0,,,,,
9,Ben Eisenhart,23,18,41,0,0,,,,,,,,,
10,Phillip Dillard,22,15,37,0.5,0,,,,,2,,,,
11,Ndamukong Suh,22,12,34,6,1,,,,,2,,,,
12,Zackary Bowman,22,7,29,1,0,1,0,0,0,,,,,
13,Barry Turner,12,17,29,3.5,3,,,,,2,,,,
14,Rickey Thenarse,18,10,28,0,0,,,,,,,,,2
15,Cortney Grixby,19,8,27,1,0,2,41,20.5,0,,,,,
16,Kevin Dixon,10,8,18,2.5,0,1,0,0,0,,,,,
17,Anthony Blue,10,8,18,0,0,,,,,1,,,,
18,Pierre Allen,7,9,16,2.5,0,,,,,1,,,,
19,Shukree Barfield,7,8,15,1,0,,,,,,,,,
20,Bryan Wilson,8,7,15,0,0,,,,,,,,,
21,Andre Jones,8,6,14,1,0,,,,,,,,,
22,Ty Steinkuhler,7,6,13,4,0,,,,,,,,,1
23,Tyler Wortman,4,5,9,2.5,0,,,,,,,,,
24,Major Culbert,5,4,9,0,0,,,,,,,,,
25,Clayton Sievers,3,4,7,0,0,,,,,,,,,
26,Andy Poulosky,4,3,7,1.5,1,,,,,,,,,
27,Dan Erickson,4,3,7,0,0,,,,,,,,,
28,Anthony West,4,2,6,2,1,,,,,,,,,
29,Nick Covey,3,2,5,1,0,,,,,,,,,
30,Prince Amukamara,2,2,4,0,0,,,,,,,,,
31,Wes Cammack,2,1,3,0,0,,,,,,,,,
32,Matt O'Hanlon,2,1,3,0,0,,,,,,,,,
33,Brandon Johnson,0,3,3,0,0,,,,,,,,,
34,Ben Martin,1,2,3,0,0,,,,,,,,,
35,T.J. O'Leary,1,2,3,0,0,,,,,,,,,
36,Marlon Lucky,1,2,3,0,0,,,,,,,,,
37,Todd Peterson,2,1,3,0,0,,,,,,,,,
38,Dan Titchener,2,1,3,0,0,,,,,,,,,
39,Eric Hagg,0,2,2,0,0,,,,,,,,,
40,Blake Lawrence,2,0,2,0,0,,,,,,,,,
41,Latravis Washington,1,1,2,0,0,,,,,,,,,
42,Carl Nicks,2,0,2,0,0,,,,,,,,,
43,Niles Paul,0,2,2,0,0,,,,,,,,,
44,Nate Swift,2,0,2,0,0,,,,,,,,,
45,Jaivario Burkes,1,0,1,0,0,,,,,,,,,
46,Roy Helu Jr.,1,0,1,0,0,,,,,,,,,
47,Jacob Hickman,1,0,1,0,0,,,,,,,,,
48,Lydon Murtha,1,0,1,0,0,,,,,,,,,
49,Thomas Rice,1,0,1,0,0,,,,,,,,,
50,Tony Sullivan,0,1,1,0,0,,,,,,,,,
51,Sean Hill,1,0,1,0,0,,,,,,,,,
52,Sam Keller,1,0,1,0,0,,,,,,,,,
53,Adi Kunalic,1,0,1,0,0,,,,,,,,,
54,Andy Sand,0,1,1,0,0,,,,,,,,,
